LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
CO,COLORADO,0802460,Bethune School District No. R- 5,P. O. BOX 127,BETHUNE,80805,No,Yes,0,4,0,0,0,0,0,0,0,0,4,2,0,1,4,7,0,3,1,0
CO,COLORADO,0802490,Boulder Valley School District No. Re2,P O BOX 9011 6500 ARAPAHOE RD,BOULDER,80301,No,Yes,1,0,0,0,2,0,0,0,0,0,4,13,1,1,8,14,0,0,0,0
CO,COLORADO,0802520,Branson Reorganized School District No. 82,PO BOX 128,BRANSON,81027,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802550,School District No. Re-10 in the county of Weld and State of,P O BOX 129,BRIGGSDALE,80611,No,Yes,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,5,0,0,0,0
CO,COLORADO,0802580,School District 27J,18551 EAST 160TH AVENUE,BRIGHTON,80601,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802610,School District No. Re-2 Brush,527 INDUSTRIAL PARK ROAD,BRUSH,80723,No,Yes,6,9,0,0,0,0,0,0,0,0,10,13,0,0,16,22,0,0,0,0
CO,COLORADO,0802640,Buena Vista School District No. R-31,P O BOX 2027,BUENA VISTA,81211,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802670,Burlington Public School District No. RE-6J,2600 Rose Ave.,BURLINGTON,80807,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802700,Byers School District No. 32J,444 EAST FRONT STREET,BYERS,80103,No,Yes,368,386,19,19,10,10,2,3,66,66,634,638,53,63,1152,1185,240,239,68,51
CO,COLORADO,0802730,Calhan District No. RJ1,800 BULLDOG DRIVE,CALHAN,80808,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802760,Campo School District No. Re-6,P O BOX 70,CAMPO,81029,No,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
CO,COLORADO,0802790,Fremont Re-1,101 NORTH 14TH STREET,CANON CITY,81212,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802850,Center Consolidated School District No. 26 Jt. of the count,550 S. SYLVESTER AVENUE,CENTER,81125,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802880,Cheraw School District No. 31 in the county of Otero and S,P.O. BOX 160,CHERAW,81030,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802910,Cherry Creek School District No. 5 in the County of Arapaho,4700 SOUTH YOSEMITE STREET,GREENWOOD VILLAGE,80111,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802940,Cheyenne Mountain School District No. 12 in the county of E,1775 LACLEDE STREET,COLORADO SPRINGS,80905,No,Yes,1,1,0,0,0,0,0,0,1,1,4,7,1,1,7,10,0,0,1,2
CO,COLORADO,0803000,Clear Creek School District No. Re-1,P O BOX 3399,IDAHO SPRINGS,80452,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803030,Plateau Valley School District No. 50 in the county of Mesa,56600 HIGHWAY 330,COLLBRAN,81624,No,Yes,0,2,0,0,1,0,0,0,0,0,20,19,0,0,21,21,0,0,0,0
CO,COLORADO,0803060,COLORADO SPRINGS SCHOOL DISTRICT NO.11 IN THE COUNTY OF EL PASO,1115 NORTH EL PASO STREET,COLORADO SPRINGS,80903,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803090,Montezuma-Cortez School District No. Re-1,PO DRAWER R,CORTEZ,81321,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803120,Fremont RE-3,PO BOX 385,COTOPAXI,81223,No,Yes,0,0,0,0,0,1,0,0,0,0,3,6,0,0,3,7,0,0,0,0
CO,COLORADO,0803150,Creede School District,P O BOX 429,CREEDE,81130,No,Yes,0,0,0,0,0,0,0,0,0,0,2,7,1,0,3,7,0,0,0,0
CO,COLORADO,0803180,Cripple Creek-Victor School District No. Re-1,P O BOX 897,CRIPPLE CREEK,80813,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803210,Crowley County School District No. Re-1-J,1001 MAIN STREET,ORDWAY,81063,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803240,De Beque Joint District No. 49 of the counties of Mesa and,P O BOX 70,DE BEQUE,81630,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803270,Deer Trail School District No. 26J,P O BOX 129,DEER TRAIL,80105,No,Yes,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0
CO,COLORADO,0803300,Del Norte Consolidated School District No. C-7,770 11TH STREET,DEL NORTE,81132,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803330,Delta County Joint District No. 50,145 West 4th Street,DELTA,81416,No,Yes,36,16,4,0,0,0,0,0,1,0,105,80,0,0,146,96,1,1,19,7
CO,COLORADO,0803360,School District No. 1 in the county of Denver and State of C,1860 LINCOLN ST,DENVER,80203,Yes,Yes,39,47,0,1,1,4,0,0,8,14,59,60,5,6,112,132,0,0,2,8
CO,COLORADO,0803390,Dolores School District No. Re-4A,P.O. BOX 727,DOLORES,81323,No,Yes,0,3,1,0,0,0,0,0,0,0,12,11,0,0,13,14,0,0,0,0
CO,COLORADO,0803420,Dolores County School District RE-2J,P O DRAWER 459,DOVE CREEK,81324,No,Yes,0,0,1,0,0,0,0,0,0,0,25,16,0,0,26,16,0,0,2,0
CO,COLORADO,0803450,Douglas County School District No. Re 1,701 PRAIRIE HAWK DRIVE,CASTLE ROCK,80108,No,Yes,13,14,0,0,3,7,0,0,2,1,87,136,4,9,109,167,0,0,0,0
CO,COLORADO,0803480,Durango School District 9-R,201 East 12th Street,Durango,81301,Yes,Yes,66,103,3,10,2,4,2,1,7,16,203,219,17,15,300,368,4,15,26,17
CO,COLORADO,0803510,Kiowa County School District No. Re-1,210 WEST 10TH,EADS,81036,No,Yes,0,0,0,0,0,0,0,0,0,0,2,9,0,0,2,9,0,0,0,0
CO,COLORADO,0803540,Eagle County School District No. Re 50,P O BOX 740,EAGLE,81631,No,Yes,4,6,0,0,0,0,0,0,0,0,16,12,0,0,20,18,2,4,3,2
CO,COLORADO,0803600,Weld County School District No. Re-2,211 1ST ST,EATON,80615,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803630,Edison Joint District No. 54 of the counties of El Paso and,14550 EDISON ROAD,YODER,80864,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803690,Elbert School District No. 200,P O BOX 38,ELBERT,80106,No,Yes,1,0,0,0,0,0,0,0,0,0,1,7,0,0,2,7,0,0,0,0
CO,COLORADO,0803720,Elizabeth School District,P O BOX 610,ELIZABETH,80107,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
