LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_RS_NONIDEA_MECH_HI_M,SCH_RS_NONIDEA_MECH_HI_F,SCH_RS_NONIDEA_MECH_AM_M,SCH_RS_NONIDEA_MECH_AM_F,SCH_RS_NONIDEA_MECH_AS_M,SCH_RS_NONIDEA_MECH_AS_F,SCH_RS_NONIDEA_MECH_HP_M,SCH_RS_NONIDEA_MECH_HP_F,SCH_RS_NONIDEA_MECH_BL_M,SCH_RS_NONIDEA_MECH_BL_F,SCH_RS_NONIDEA_MECH_WH_M,SCH_RS_NONIDEA_MECH_WH_F,SCH_RS_NONIDEA_MECH_TR_M,SCH_RS_NONIDEA_MECH_TR_F,TOT_RS_NONIDEA_MECH_M,TOT_RS_NONIDEA_MECH_F,SCH_RS_NONIDEA_MECH_LEP_M,SCH_RS_NONIDEA_MECH_LEP_F,SCH_RS_NONIDEA_MECH_504_M,SCH_RS_NONIDEA_MECH_504_F,SCH_RS_NONIDEA_PHYS_HI_M,SCH_RS_NONIDEA_PHYS_HI_F,SCH_RS_NONIDEA_PHYS_AM_M,SCH_RS_NONIDEA_PHYS_AM_F,SCH_RS_NONIDEA_PHYS_AS_M,SCH_RS_NONIDEA_PHYS_AS_F,SCH_RS_NONIDEA_PHYS_HP_M,SCH_RS_NONIDEA_PHYS_HP_F,SCH_RS_NONIDEA_PHYS_BL_M,SCH_RS_NONIDEA_PHYS_BL_F,SCH_RS_NONIDEA_PHYS_WH_M,SCH_RS_NONIDEA_PHYS_WH_F,SCH_RS_NONIDEA_PHYS_TR_M,SCH_RS_NONIDEA_PHYS_TR_F,TOT_RS_NONIDEA_PHYS_M,TOT_RS_NONIDEA_PHYS_F,SCH_RS_NONIDEA_PHYS_LEP_M,SCH_RS_NONIDEA_PHYS_LEP_F,SCH_RS_NONIDEA_PHYS_504_M,SCH_RS_NONIDEA_PHYS_504_F,SCH_RS_NONIDEA_SECL_HI_M,SCH_RS_NONIDEA_SECL_HI_F,SCH_RS_NONIDEA_SECL_AM_M,SCH_RS_NONIDEA_SECL_AM_F,SCH_RS_NONIDEA_SECL_AS_M,SCH_RS_NONIDEA_SECL_AS_F,SCH_RS_NONIDEA_SECL_HP_M,SCH_RS_NONIDEA_SECL_HP_F,SCH_RS_NONIDEA_SECL_BL_M,SCH_RS_NONIDEA_SECL_BL_F,SCH_RS_NONIDEA_SECL_WH_M,SCH_RS_NONIDEA_SECL_WH_F,SCH_RS_NONIDEA_SECL_TR_M,SCH_RS_NONIDEA_SECL_TR_F,TOT_RS_NONIDEA_SECL_M,TOT_RS_NONIDEA_SECL_F,SCH_RS_NONIDEA_SECL_504_M,SCH_RS_NONIDEA_SECL_504_F,SCH_RS_NONIDEA_SECL_LEP_M,SCH_RS_NONIDEA_SECL_LEP_F,SCH_RS_IDEA_MECH_HI_M,SCH_RS_IDEA_MECH_HI_F,SCH_RS_IDEA_MECH_AM_M,SCH_RS_IDEA_MECH_AM_F,SCH_RS_IDEA_MECH_AS_M,SCH_RS_IDEA_MECH_AS_F,SCH_RS_IDEA_MECH_HP_M,SCH_RS_IDEA_MECH_HP_F,SCH_RS_IDEA_MECH_BL_M,SCH_RS_IDEA_MECH_BL_F,SCH_RS_IDEA_MECH_WH_M,SCH_RS_IDEA_MECH_WH_F,SCH_RS_IDEA_MECH_TR_M,SCH_RS_IDEA_MECH_TR_F,TOT_RS_IDEA_MECH_M,TOT_RS_IDEA_MECH_F,SCH_RS_IDEA_MECH_LEP_M,SCH_RS_IDEA_MECH_LEP_F,SCH_RS_IDEA_PHYS_HI_M,SCH_RS_IDEA_PHYS_HI_F,SCH_RS_IDEA_PHYS_AM_M,SCH_RS_IDEA_PHYS_AM_F,SCH_RS_IDEA_PHYS_AS_M,SCH_RS_IDEA_PHYS_AS_F,SCH_RS_IDEA_PHYS_HP_M,SCH_RS_IDEA_PHYS_HP_F,SCH_RS_IDEA_PHYS_BL_M,SCH_RS_IDEA_PHYS_BL_F,SCH_RS_IDEA_PHYS_WH_M,SCH_RS_IDEA_PHYS_WH_F,SCH_RS_IDEA_PHYS_TR_M,SCH_RS_IDEA_PHYS_TR_F,TOT_RS_IDEA_PHYS_M,TOT_RS_IDEA_PHYS_F,SCH_RS_IDEA_PHYS_LEP_M,SCH_RS_IDEA_PHYS_LEP_F,SCH_RS_IDEA_SECL_HI_M,SCH_RS_IDEA_SECL_HI_F,SCH_RS_IDEA_SECL_AM_M,SCH_RS_IDEA_SECL_AM_F,SCH_RS_IDEA_SECL_AS_M,SCH_RS_IDEA_SECL_AS_F,SCH_RS_IDEA_SECL_HP_M,SCH_RS_IDEA_SECL_HP_F,SCH_RS_IDEA_SECL_BL_M,SCH_RS_IDEA_SECL_BL_F,SCH_RS_IDEA_SECL_WH_M,SCH_RS_IDEA_SECL_WH_F,SCH_RS_IDEA_SECL_TR_M,SCH_RS_IDEA_SECL_TR_F,TOT_RS_IDEA_SECL_M,TOT_RS_IDEA_SECL_F,SCH_RS_IDEA_SECL_LEP_M,SCH_RS_IDEA_SECL_LEP_F,SCH_RSINSTANCES_MECH_WODIS,SCH_RSINSTANCES_MECH_IDEA,SCH_RSINSTANCES_MECH_504,SCH_RSINSTANCES_PHYS_WODIS,SCH_RSINSTANCES_PHYS_IDEA,SCH_RSINSTANCES_PHYS_504,SCH_RSINSTANCES_SECL_WODIS,SCH_RSINSTANCES_SECL_IDEA,SCH_RSINSTANCES_SECL_504
HI,HAWAII,1500030,Hawaii Department of Education,15000,Kainalu Elementary School,150003000011,No,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
HI,HAWAII,1500030,Hawaii Department of Education,15000,Kalaheo High School,150003000012,No,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
HI,HAWAII,1500030,Hawaii Department of Education,15000,Kaneohe Elementary School,150003000013,No,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
HI,HAWAII,1500030,Hawaii Department of Education,15000,Kapunahala Elementary School,150003000014,No,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
HI,HAWAII,1500030,Hawaii Department of Education,15000,Keolu Elementary School,150003000015,No,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
HI,HAWAII,1500030,Hawaii Department of Education,15000,Governor Samuel Wilder King Intermediate School,150003000016,No,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
HI,HAWAII,1500030,Hawaii Department of Education,15000,Laie Elementary School,150003000017,No,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
HI,HAWAII,1500030,Hawaii Department of Education,15000,Ka'ohao Public Charter School,150003000018,No,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
HI,HAWAII,1500030,Hawaii Department of Education,15000,Maunawili Elementary School,150003000019,No,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
HI,HAWAII,1500030,Hawaii Department of Education,15000,Mokapu Elementary School,150003000020,No,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
